,2021,2022,avg,stdev
0,0.02505115644571216,0.05512770137524558,0.04008942891047887,0.01503827246476671
1,0.04588578160848267,0.06958742632612967,0.05773660396730617,0.011850822358823503
2,0.06913871147764618,0.07335952848722986,0.07124911998243802,0.0021104085047918414
3,0.08309046939914429,0.08538310412573674,0.08423678676244051,0.0011463173632962273
4,0.08110621938364233,0.08994106090373281,0.08552364014368757,0.00441742076004524
5,0.09648415700378248,0.09465618860510805,0.09557017280444527,0.000913984199337213
6,0.09592608668692255,0.0825147347740668,0.08922041073049468,0.006705675956427876
7,0.10070068828672413,0.09280943025540275,0.09675505927106344,0.003945629015660687
8,0.10386308674893037,0.09194499017681729,0.09790403846287382,0.005959048286056541
9,0.10349103987102375,0.0849901768172888,0.09424060834415628,0.00925043152686747
10,0.10342903205803931,0.09363457760314342,0.09853180483059137,0.004897227227447946
11,0.09183357102994977,0.08605108055009823,0.08894232579002401,0.0028912452399257674
